userID,itemID,username,item,rating
3,0,Gal Gadot,oranges,3.0
3,1,Gal Gadot,apples,3.0
3,2,Gal Gadot,watermelon,1.382566069224326
3,3,Gal Gadot,bananas,1.5680503302864146
3,4,Gal Gadot,eggplant,1.6746543557848932
3,5,Gal Gadot,tomatoes,1.0
3,6,Gal Gadot,potatoes,3.0
3,7,Gal Gadot,bread,1.4081920035249755
3,8,Gal Gadot,oats,1.5805599129387007
3,9,Gal Gadot,rice,1.4378919099794403
3,10,Gal Gadot,fish,1.8714576275144459
3,11,Gal Gadot,eggs,1.5510849028941254
3,12,Gal Gadot,chicken,1.0
3,13,Gal Gadot,olive_oil,1.4562618156753113
3,14,Gal Gadot,soybean,2.0
3,15,Gal Gadot,beef,1.0
3,16,Gal Gadot,milk,1.0
3,17,Gal Gadot,yogurt,1.0
3,18,Gal Gadot,cheese_ball,1.0
1,0,Anonymous Narwhal,oranges,1.0
1,1,Anonymous Narwhal,apples,1.0
1,2,Anonymous Narwhal,watermelon,1.0
1,3,Anonymous Narwhal,bananas,1.0
1,4,Anonymous Narwhal,eggplant,1.0
1,5,Anonymous Narwhal,tomatoes,1.4431378360374434
1,6,Anonymous Narwhal,potatoes,1.3699462448687125
1,7,Anonymous Narwhal,bread,3.0
1,8,Anonymous Narwhal,oats,1.0
1,9,Anonymous Narwhal,rice,1.7077941261345815
1,10,Anonymous Narwhal,fish,1.0
1,11,Anonymous Narwhal,eggs,1.428927558932977
1,12,Anonymous Narwhal,chicken,1.3613598084470653
1,13,Anonymous Narwhal,olive_oil,1.4313054590824246
1,14,Anonymous Narwhal,soybean,1.5953566912928445
1,15,Anonymous Narwhal,beef,1.3171272977863415
1,16,Anonymous Narwhal,milk,1.3322385451225451
1,17,Anonymous Narwhal,yogurt,1.6652820423715344
1,18,Anonymous Narwhal,cheese_ball,1.0
5,0,csk6snj,oranges,1.9403304456941115
5,1,csk6snj,apples,1.0
5,2,csk6snj,watermelon,1.0
5,3,csk6snj,bananas,1.5694759598780448
5,4,csk6snj,eggplant,1.0
5,5,csk6snj,tomatoes,1.0
5,6,csk6snj,potatoes,1.0
5,7,csk6snj,bread,3.0
5,8,csk6snj,oats,1.3674552641749378
5,9,csk6snj,rice,1.742886726739875
5,10,csk6snj,fish,1.8112945902748354
5,11,csk6snj,eggs,1.0
5,12,csk6snj,chicken,1.7608685362477168
5,13,csk6snj,olive_oil,1.8004131421327627
5,14,csk6snj,soybean,1.5003862776545789
5,15,csk6snj,beef,1.476691998050927
5,16,csk6snj,milk,1.6421941843578802
5,17,csk6snj,yogurt,1.598379410986248
5,18,csk6snj,cheese_ball,1.5778902418428074
12,0,blacklodge,oranges,1.0
12,1,blacklodge,apples,1.0
12,2,blacklodge,watermelon,1.0
12,3,blacklodge,bananas,3.0
12,4,blacklodge,eggplant,3.0
12,5,blacklodge,tomatoes,1.7188257314217745
12,6,blacklodge,potatoes,3.0
12,7,blacklodge,bread,1.4033361787487622
12,8,blacklodge,oats,1.0
12,9,blacklodge,rice,1.7187630702495782
12,10,blacklodge,fish,1.7880358257048539
12,11,blacklodge,eggs,1.4010533668199305
12,12,blacklodge,chicken,1.4274915355682638
12,13,blacklodge,olive_oil,1.7554717094424068
12,14,blacklodge,soybean,1.603704222711313
12,15,blacklodge,beef,1.0
12,16,blacklodge,milk,1.6527780645142394
