userID,itemID,username,item,rating
5,0,csk6snj,oranges,3.0
5,1,csk6snj,apples,5.0
5,2,csk6snj,watermelon,5.0
5,3,csk6snj,bananas,3.0
5,4,csk6snj,eggplant,1.0
5,5,csk6snj,tomatoes,3.0
5,6,csk6snj,potatoes,3.0
5,7,csk6snj,bread,3.0
5,8,csk6snj,oats,3.0
5,9,csk6snj,rice,5.0
5,10,csk6snj,fish,4.0
5,11,csk6snj,eggs,3.0
5,12,csk6snj,chicken,5.0
5,13,csk6snj,olive_oil,3.0
5,14,csk6snj,soybean,1.0
5,15,csk6snj,beef,3.0
5,16,csk6snj,milk,2.0
2,0,ak3gj,oranges,5.0
2,1,ak3gj,apples,5.0
2,2,ak3gj,watermelon,1.0
2,3,ak3gj,bananas,1.0
