ID,Rating,Oranges7,Apples7,Watermelons7,Bananas7,Eggplants7,Tomatoes7,Potatoes7,Bread7,Oats7,Rice7,Fish7,Eggs7,Chicken7,Olive Oil7,Soy Bean Paste7,Beef7,Milk7,"Yogurt (low fat, plain)7",Cheese Balls7
Gal Gadot,Requested,2,2,2,2,2,4,2,2,4,4,4,2,4,2,4,2,1,2,4
Gal Gadot,Allocation,2,2,2,2,2,0,2,2,2,0,0,2,4,2,0,2,1,2,0
Gal Gadot,Rate Quantity,,,,,,,,,,,,,,,,,,,
Gal Gadot,Rate Item,,,,,,,,,,,,,,,,,,,
Anonymous Narwhal,Requested,4,4,1,4,4,4,4,4,4,2,4,3,2,2,2,2,1,2,4
Anonymous Narwhal,Allocation,3,4,1,4,1,0,0,2,0,2,2,3,2,2,2,2,1,2,4
Anonymous Narwhal,Rate Quantity,,,,,,,,,,,,,,,,,,,
Anonymous Narwhal,Rate Item,,,,,,,,,,,,,,,,,,,
csk6snj,Requested,2,2,2,1,2,2,2,4,1,4,4,4,3,4,4,4,4,4,3
csk6snj,Allocation,2,2,2,1,2,2,2,2,1,1,0,4,2,0,0,2,4,1,3
csk6snj,Rate Quantity,3,3,,,,3,,,,1,,,,,2,,,2,
csk6snj,Rate Item,,,,,,,,,,,,,,,,,,,
blacklodge,Requested,1,1,3,5,2,3,3,1,1,5,1,3,1,3,3,3,1,3,3
blacklodge,Allocation,1,1,0,0,2,3,2,1,1,0,1,3,1,0,0,0,1,3,3
blacklodge,Rate Quantity,,,,,,,,,,,,,,,,,,,
blacklodge,Rate Item,,,,,,,,,,,,,,,,,,,
nm2fs,Requested,3,3,3,3,3,3,3,1,3,3,3,3,1,3,3,1,1,3,3
nm2fs,Allocation,0,3,0,2,2,3,0,1,3,2,3,3,1,0,0,1,1,3,3
nm2fs,Rate Quantity,,,,,,,,,,,,,,,,,,,
nm2fs,Rate Item,,,,,,,,,,,,,,,,,,,
ae3xd,Requested,1,1,3,3,3,3,3,2,3,7,3,2,4,1,3,3,1,1,3
ae3xd,Allocation,1,1,3,1,3,0,2,2,3,0,3,2,0,1,0,3,1,1,3
ae3xd,Rate Quantity,,,3,3,3,,,,,1,,,1,,,3,2,2,
ae3xd,Rate Item,,,,,,,,,,,,,,,,,,,
znp3ev,Requested,7,2,7,6,2,7,6,2,7,7,7,2,2,8,4,8,4,2,8
znp3ev,Allocation,0,2,0,6,2,7,6,2,4,7,7,2,2,0,4,0,4,2,0
znp3ev,Rate Quantity,,,,,,,,,,,,,,,,,,,
znp3ev,Rate Item,,,,,,,,,,,,,,,,,,,
zqz8ae,Requested,8,2,2,9,2,4,2,6,5,7,9,9,9,4,6,2,9,2,2
zqz8ae,Allocation,3,2,2,0,2,4,2,4,5,7,1,1,0,4,6,2,0,2,2
zqz8ae,Rate Quantity,,,,,,,,,,,,,,,,,,,
zqz8ae,Rate Item,,,,,,,,,,,,,,,,,,,
ak3gj,Requested,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
ak3gj,Allocation,2,3,0,3,3,3,3,0,1,3,3,3,3,0,0,3,2,2,3
ak3gj,Rate Quantity,,,1,,,,,3,,,4,,,2,1,,,4,
ak3gj,Rate Item,2,,1,,,2,,,1,2,,,2,,,,2,,
pex7ps,Requested,3,1,5,8,1,3,3,4,3,5,1,7,9,6,6,1,7,6,7
pex7ps,Allocation,3,1,5,0,1,3,3,4,3,4,1,5,0,3,3,1,0,6,0
pex7ps,Rate Quantity,3,3,3,1,,,,3,,,,2,1,,2,,1,,1
pex7ps,Rate Item,4,4,4,4,2,2,3,4,3,5,4,2,4,2,1,5,2,,
