ID,Rating,Oranges2,Apples2,Watermelons2,Bananas2,Eggplants2,Tomatoes2,Potatoes2,Bread2,Oats2,Rice2,Fish2,Eggs2,Chicken2,Olive Oil2,Soy Bean Paste2,Beef2,Milk2,"Yogurt (low fat, plain)2",Cheese Balls2
Gal Gadot,Requested,1,1,2,,2,4,1,3,,,10,2,,,,,,5,
Gal Gadot,Allocation,1,1,2,3,2,4,1,3,3,3,2,2,0,3,1,0,0,0,0
Gal Gadot,Rate Quantity,,,,,,,,,,,,,,,,,,,
Gal Gadot,Rate Item,,,,,,,,,,,,,,,,,,,
Anonymous Narwhal,Requested,4,3,,3,,2,2,,,2,,,,3,1,3,,,
Anonymous Narwhal,Allocation,0,4,0,4,4,2,2,1,0,2,0,3,3,3,2,3,3,3,0
Anonymous Narwhal,Rate Quantity,,,,,,,,,,,,,,,,,,,
Anonymous Narwhal,Rate Item,,,,,,,,,,,,,,,,,,,
csk6snj,Requested,,,,,,,,,,2,,6,2,1,,1,,,
csk6snj,Allocation,3,0,0,3,0,4,0,1,2,2,2,0,2,2,2,2,2,2,2
csk6snj,Rate Quantity,,,,,,,,,,,,,,,,,,,
csk6snj,Rate Item,,,,,,,,,,,,,,,,,,,
blacklodge,Requested,3,3,2,3,3,3,1,2,3,2,2,3,3,2,2,3,2,2,2
blacklodge,Allocation,0,4,0,1,1,3,1,3,0,2,2,3,3,2,2,0,2,2,3
blacklodge,Rate Quantity,,,,,,,,,,,,,,,,,,,
blacklodge,Rate Item,,,,,,,,,,,,,,,,,,,
nm2fs,Requested,,,,,,,,,,,,,,,,,,,
nm2fs,Allocation,0,3,1,3,2,3,3,0,3,3,0,3,0,3,3,0,3,3,3
nm2fs,Rate Quantity,,,,,,,,,,,,,,,,,,,
nm2fs,Rate Item,,,,,,,,,,,,,,,,,,,
ae3xd,Requested,,,,,,,,,,,,,,,,,,,
ae3xd,Allocation,2,3,3,3,0,3,1,3,3,0,0,3,3,0,3,0,3,3,3
ae3xd,Rate Quantity,2,2,0,0,,,,2,,,,2,,,,,1,3,3
ae3xd,Rate Item,,,,,,,,,,,,,,,,,,,
znp3ev,Requested,7,9,8,5,6,4,6,6,7,6,7,6,7,6,5,6,8,8,8
znp3ev,Allocation,7,2,0,3,6,4,6,5,0,6,6,6,3,6,3,6,0,0,0
znp3ev,Rate Quantity,,,,,,,,,,,,,,,,,,,
znp3ev,Rate Item,,,,,,,,,,,,,,,,,,,
zqz8ae,Requested,2,7,4,7,5,7,2,6,2,4,6,3,6,10,2,2,7,2,4
zqz8ae,Allocation,2,0,4,6,5,4,2,0,2,4,0,4,0,2,4,3,0,3,4
zqz8ae,Rate Quantity,,,,,,,,,,,,,,,,,,,
zqz8ae,Rate Item,,,,,,,,,,,,,,,,,,,
ak3gj,Requested,8,5,,,,7,5,7,5,7,7,8,10,1,,10,3,5,
ak3gj,Allocation,4,5,1,1,1,0,3,0,1,0,0,4,4,1,1,4,1,2,1
ak3gj,Rate Quantity,1,2,,3,,1,,1,,,1,,1,2,,,,,2
ak3gj,Rate Item,5,,,1,,,,3,,,4,,5,,,,,,1
pex7ps,Requested,9,5,6,4,1,3,7,6,3,6,4,7,8,1,6,9,3,3,5
pex7ps,Allocation,0,4,5,4,1,3,0,4,3,0,4,5,4,1,0,0,3,3,5
pex7ps,Rate Quantity,,,,,,,,,,,,,,,,,,,
pex7ps,Rate Item,,,,,,,,,,,,,,,,,,,
