ID,Rating,Oranges4,Apples4,Watermelons4,Bananas4,Eggplants4,Tomatoes4,Potatoes4,Bread4,Oats4,Rice4,Fish4,Eggs4,Chicken4,Olive Oil4,Soy Bean Paste4,Beef4,Milk4,"Yogurt (low fat, plain)4",Cheese Balls4
Gal Gadot,Requested,4,4,1,2,4,4,4,2,4,3,2,4,3,3,4,2,9,4,4
Gal Gadot,Allocation,0,4,1,2,0,4,2,2,2,2,2,4,3,3,0,2,0,0,0
Gal Gadot,Rate Quantity,,,,,,,,,,,,,,,,,,,
Gal Gadot,Rate Item,,,,,,,,,,,,,,,,,,,
Anonymous Narwhal,Requested,4,3,4,4,5,5,5,4,3,3,4,3,2,4,2,2,2,2,2
Anonymous Narwhal,Allocation,0,3,0,4,0,0,0,2,3,2,0,3,2,3,2,2,2,2,2
Anonymous Narwhal,Rate Quantity,,,,,,,,,,,,,,,,,,,
Anonymous Narwhal,Rate Item,,,,,,,,,,,,,,,,,,,
csk6snj,Requested,2,2,3,5,3,3,3,3,3,3,1,2,2,2,2,2,2,1,2
csk6snj,Allocation,2,2,0,0,0,2,0,1,0,0,1,2,2,2,2,2,2,1,2
csk6snj,Rate Quantity,,,,,,,,,,,,,,,,,,,
csk6snj,Rate Item,,,,,,,,,,,,,,,,,,,
blacklodge,Requested,2,2,3,3,2,2,2,3,1,2,2,2,2,3,2,3,3,2,3
blacklodge,Allocation,2,2,0,0,2,2,2,0,1,1,2,2,2,0,2,0,1,2,0
blacklodge,Rate Quantity,,,,,,,,,,,,,,,,,,,
blacklodge,Rate Item,,,,,,,,,,,,,,,,,,,
nm2fs,Requested,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
nm2fs,Allocation,3,3,0,0,2,3,3,0,3,0,0,3,3,3,0,2,3,1,3
nm2fs,Rate Quantity,,,,,,,,,,,,,,,,,,,
nm2fs,Rate Item,,,,,,,,,,,,,,,,,,,
ae3xd,Requested,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,2,3,3
ae3xd,Allocation,0,3,0,2,0,3,2,3,3,1,0,3,3,1,0,3,2,0,3
ae3xd,Rate Quantity,,,,,,,,,,,,,,,,,,,
ae3xd,Rate Item,,,,,,,,,,,,,,,,,,,
znp3ev,Requested,6,7,6,6,6,2,8,7,7,4,6,2,8,8,6,7,8,5,7
znp3ev,Allocation,6,7,6,6,6,2,0,3,2,4,4,2,6,0,4,0,0,5,0
znp3ev,Rate Quantity,,,,,,,,,,,,,,,,,,,
znp3ev,Rate Item,,,,,,,,,,,,,,,,,,,
zqz8ae,Requested,2,2,2,4,2,7,3,2,7,7,2,5,7,2,2,7,2,3,2
zqz8ae,Allocation,2,2,2,0,2,0,2,2,0,0,2,0,1,2,2,0,2,3,2
zqz8ae,Rate Quantity,,,,,,,,,,,,,,,,,,,
zqz8ae,Rate Item,,,,,,,,,,,,,,,,,,,
ak3gj,Requested,7,5,1,1,1,4,7,7,4,7,6,2,2,1,1,9,4,5,1
ak3gj,Allocation,0,3,1,1,1,4,0,0,4,0,0,2,2,1,1,0,4,0,1
ak3gj,Rate Quantity,1,,2,,2,,1,1,,1,,,2,,,1,2,,
ak3gj,Rate Item,5,,,1,,,,3,,4,5,,,,,5,,,1
pex7ps,Requested,4,6,4,6,4,2,7,6,4,4,3,4,8,3,2,6,7,3,7
pex7ps,Allocation,4,0,4,0,4,2,0,0,4,4,3,4,0,3,2,3,1,3,0
pex7ps,Rate Quantity,,,,,,,,,,,,,,,,,,,
pex7ps,Rate Item,,,,,,,,,,,,,,,,,,,
