ID,Rating,Oranges5,Apples5,Watermelons5,Bananas5,Eggplants5,Tomatoes5,Potatoes5,Bread5,Oats5,Rice5,Fish5,Eggs5,Chicken5,Olive Oil5,Soy Bean Paste5,Beef5,Milk5,"Yogurt (low fat, plain)5",Cheese Balls5
Gal Gadot,Requested,4,2,5,2,4,4,2,5,4,4,4,4,8,4,5,4,4,4,2
Gal Gadot,Allocation,2,2,0,2,0,4,2,0,4,4,4,4,0,2,0,4,4,4,2
Gal Gadot,Rate Quantity,,,,,,,,,,,,,,,,,,,
Gal Gadot,Rate Item,,,,,,,,,,,,,,,,,,,
Anonymous Narwhal,Requested,2,2,2,2,2,4,4,2,2,2,2,2,4,3,3,4,2,4,4
Anonymous Narwhal,Allocation,2,2,2,2,2,0,3,2,2,2,2,2,4,0,0,0,2,0,0
Anonymous Narwhal,Rate Quantity,,,,,,,,,,,,,,,,,,,
Anonymous Narwhal,Rate Item,,,,,,,,,,,,,,,,,,,
csk6snj,Requested,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,2
csk6snj,Allocation,0,4,1,4,1,0,3,3,3,3,3,3,4,4,4,0,0,0,2
csk6snj,Rate Quantity,2,3,2,3,,,,,3,,,3,,,,,,,
csk6snj,Rate Item,,,,,,,,,,,,,,,,,,,
blacklodge,Requested,2,1,2,3,1,3,1,1,2,3,2,2,4,2,2,1,1,3,3
blacklodge,Allocation,2,1,2,0,1,0,1,1,0,3,2,2,0,2,2,1,1,0,0
blacklodge,Rate Quantity,,,,,,,,,,,,,,,,,,,
blacklodge,Rate Item,,,,,,,,,,,,,,,,,,,
nm2fs,Requested,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
nm2fs,Allocation,0,0,3,1,3,3,3,3,3,3,0,3,3,3,0,0,3,1,3
nm2fs,Rate Quantity,3,3,1,3,3,3,3,1,1,1,0,6,1,0,0,1,1,1,1
nm2fs,Rate Item,4,3,2,3,2,5,5,5,3,5,1,4,4,1,1,4,3,4,4
ae3xd,Requested,3,2,4,4,4,4,4,4,4,4,4,2,3,3,3,3,3,3,3
ae3xd,Allocation,3,2,3,0,0,0,4,2,0,4,0,2,3,3,3,3,3,3,3
ae3xd,Rate Quantity,2,2,3,,,,,2,,,1,,,3,,3,2,2,
ae3xd,Rate Item,,,,,,,,,,,,,,,,,,,
znp3ev,Requested,7,7,7,5,6,4,8,6,7,6,7,7,6,6,5,7,7,7,7
znp3ev,Allocation,0,2,0,4,6,4,8,6,7,6,4,7,6,6,5,1,3,5,0
znp3ev,Rate Quantity,,,,,,,,,,,,,,,,,,,
znp3ev,Rate Item,,,,,,,,,,,,,,,,,,,
zqz8ae,Requested,2,2,2,7,7,2,8,2,2,7,2,8,5,2,5,2,2,2,2
zqz8ae,Allocation,2,2,2,0,0,2,0,2,2,0,1,5,3,2,0,2,2,2,2
zqz8ae,Rate Quantity,,,,,,,,,,,,,,,,,,,
zqz8ae,Rate Item,,,,,,,,,,,,,,,,,,,
ak3gj,Requested,7,6,1,1,1,4,6,7,1,7,5,7,2,1,1,4,4,5,1
ak3gj,Allocation,0,0,1,1,1,4,4,0,1,1,0,6,2,1,1,4,4,0,1
ak3gj,Rate Quantity,,,,,,,,,,,,,,,,,,,
ak3gj,Rate Item,,,,,,,,,,,,,,,,,,,
pex7ps,Requested,1,4,8,4,1,2,7,4,3,3,5,4,3,7,6,7,4,4,8
pex7ps,Allocation,1,4,0,4,1,2,5,4,3,3,2,2,3,0,0,0,4,4,0
pex7ps,Rate Quantity,,,,,,,,,,,,,,,,,,,
pex7ps,Rate Item,,,,,,,,,,,,,,,,,,,
