ID,Oranges,Apples,Watermelons,Bananas,Eggplants,Tomatoes,Potatoes,Bread,Oats,Rice,Fish,Eggs,Chicken,Olive Oil,Soy Bean Paste,Beef,Milk,"Yogurt (low fat, plain)",Cheese Balls,AllocationTime
Gal Gadot,3.0,0.0,1.0,2.0,2.0,3.0,0.0,2.0,3.0,0.0,2.0,3.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,4
Anonymous Narwhal,0.0,3.0,1.0,-0.0,0.0,3.0,1.0,4.0,3.0,3.0,0.0,3.0,3.0,0.0,2.0,3.0,2.0,3.0,3.0,4
csk6snj,0.0,2.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,1.0,3.0,3.0,3.0,3.0,0.0,3.0,1.0,3.0,4
blacklodge,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,-0.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,3.0,4
nm2fs,3.0,0.0,0.0,3.0,0.0,3.0,3.0,3.0,3.0,1.0,0.0,3.0,3.0,3.0,2.0,0.0,2.0,1.0,3.0,4
ae3xd,3.0,3.0,0.0,2.0,0.0,3.0,2.0,3.0,0.0,2.0,0.0,3.0,3.0,3.0,0.0,2.0,2.0,0.0,3.0,4
znp3ev,6.0,7.0,6.0,6.0,6.0,2.0,0.0,2.0,4.0,4.0,6.0,7.0,0.0,0.0,6.0,0.0,0.0,5.0,1.0,4
zqz8ae,4.0,2.0,0.0,4.0,7.0,7.0,3.0,0.0,7.0,7.0,0.0,5.0,7.0,2.0,0.0,7.0,10.0,3.0,0.0,4
ak3gj,0.0,5.0,3.0,3.0,3.0,4.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,4.0,5.0,3.0,4
pex7ps,0.0,6.0,4.0,1.0,4.0,2.0,0.0,3.0,4.0,4.0,3.0,4.0,-0.0,3.0,2.0,0.0,0.0,3.0,0.0,4
