ID,Oranges,Apples,Watermelons,Bananas,Eggplants,Tomatoes,Potatoes,Bread,Oats,Rice,Fish,Eggs,Chicken,Olive Oil,Soy Bean Paste,Beef,Milk,"Yogurt (low fat, plain)",Cheese Balls,AllocationTime
Gal Gadot,3.0,2.0,-0.0,2.0,1.0,4.0,2.0,-0.0,4.0,4.0,1.0,4.0,1.0,4.0,1.0,1.0,4.0,4.0,2.0,5
Anonymous Narwhal,-0.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,-0.0,1.0,1.0,2.0,1.0,0.0,5
csk6snj,-0.0,4.0,3.0,-0.0,3.0,-0.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,0.0,3.0,4.0,2.0,5
blacklodge,2.0,1.0,-0.0,-0.0,1.0,-0.0,1.0,1.0,2.0,3.0,2.0,2.0,-0.0,2.0,2.0,1.0,1.0,-0.0,-0.0,5
nm2fs,1.0,2.0,3.0,1.0,-0.0,-0.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,-0.0,3.0,1.0,2.0,5
ae3xd,3.0,2.0,3.0,3.0,1.0,1.0,3.0,2.0,-0.0,3.0,1.0,2.0,3.0,2.0,2.0,-0.0,3.0,3.0,-0.0,5
znp3ev,-0.0,3.0,1.0,5.0,5.0,4.0,8.0,6.0,7.0,6.0,1.0,7.0,6.0,6.0,4.0,6.0,-0.0,-0.0,4.0,5
zqz8ae,2.0,2.0,2.0,-0.0,-0.0,2.0,-0.0,2.0,2.0,-0.0,2.0,3.0,5.0,2.0,-0.0,2.0,2.0,2.0,2.0,5
ak3gj,-0.0,-0.0,1.0,1.0,1.0,4.0,4.0,-0.0,1.0,2.0,-0.0,7.0,2.0,1.0,1.0,4.0,4.0,-0.0,1.0,5
pex7ps,1.0,3.0,0.0,4.0,1.0,2.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,-0.0,4.0,4.0,-0.0,5
