ID,Oranges,Apples,Watermelons,Bananas,Eggplants,Tomatoes,Potatoes,Bread,Oats,Rice,Fish,Eggs,Chicken,Olive Oil,Soy Bean Paste,Beef,Milk,"Yogurt (low fat, plain)",Cheese Balls,AllocationTime
Gal Gadot,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,-0.0,2.0,4.0,2.0,0.0,2.0,1.0,2.0,1.0,7
Anonymous Narwhal,2.0,4.0,1.0,2.0,3.0,-0.0,0.0,0.0,-0.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,7
csk6snj,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,2.0,4.0,1.0,3.0,7
blacklodge,1.0,1.0,2.0,0.0,2.0,3.0,3.0,1.0,1.0,0.0,1.0,3.0,1.0,-0.0,0.0,0.0,1.0,3.0,3.0,7
nm2fs,0.0,3.0,0.0,2.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,7
ae3xd,1.0,1.0,0.0,3.0,3.0,3.0,-0.0,2.0,3.0,0.0,3.0,2.0,0.0,1.0,0.0,3.0,1.0,1.0,2.0,7
znp3ev,0.0,2.0,0.0,6.0,2.0,5.0,6.0,2.0,3.0,7.0,7.0,2.0,2.0,0.0,4.0,0.0,4.0,2.0,0.0,7
zqz8ae,3.0,2.0,2.0,0.0,2.0,4.0,2.0,6.0,5.0,6.0,0.0,2.0,0.0,4.0,6.0,2.0,0.0,2.0,2.0,7
ak3gj,3.0,3.0,1.0,3.0,0.0,3.0,1.0,0.0,3.0,3.0,3.0,3.0,2.0,0.0,1.0,3.0,2.0,3.0,3.0,7
pex7ps,3.0,1.0,5.0,0.0,1.0,3.0,3.0,4.0,3.0,5.0,1.0,4.0,0.0,3.0,2.0,1.0,0.0,6.0,0.0,7
