ID,Oranges,Apples,Watermelons,Bananas,Eggplants,Tomatoes,Potatoes,Bread,Oats,Rice,Fish,Eggs,Chicken,Olive Oil,Soy Bean Paste,Beef,Milk,"Yogurt (low fat, plain)",Cheese Balls,AllocationTime
Gal Gadot,0.0,2.0,1.0,0.0,0.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,-0.0,2.0,3.0,1.0,3.0,14
Anonymous Narwhal,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,-0.0,3.0,14
csk6snj,0.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,2.0,0.0,1.0,3.0,2.0,-0.0,0.0,3.0,3.0,3.0,3.0,14
blacklodge,1.0,1.0,1.0,2.0,0.0,0.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,14
nm2fs,1.0,3.0,3.0,-0.0,2.0,3.0,3.0,1.0,3.0,0.0,3.0,3.0,1.0,-0.0,3.0,1.0,1.0,1.0,1.0,14
ae3xd,1.0,3.0,3.0,3.0,-0.0,3.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,3.0,3.0,14
znp3ev,4.0,4.0,-0.0,0.0,4.0,4.0,0.0,5.0,1.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,5.0,4.0,5.0,14
zqz8ae,5.0,5.0,4.0,5.0,5.0,0.0,5.0,1.0,0.0,0.0,2.0,7.0,2.0,1.0,2.0,2.0,0.0,2.0,1.0,14
ak3gj,0.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,0.0,0.0,3.0,3.0,3.0,14
pex7ps,2.0,3.0,3.0,3.0,1.0,3.0,2.0,1.0,3.0,3.0,0.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,0.0,14
