ID,Oranges,Apples,Watermelons,Bananas,Eggplants,Tomatoes,Potatoes,Bread,Oats,Rice,Fish,Eggs,Chicken,Olive Oil,Soy Bean Paste,Beef,Milk,"Yogurt (low fat, plain)",Cheese Balls
Gal Gadot,0.016038926732460084,0.016038926732460084,0.016038926732460084,0.016038926732460084,0.0301454526537804,0.005410722271191354,0.007343123082331123,0.0150727263268902,0.11652376891172808,0.13159649523861827,0.12483309239962909,0.12483309239962909,0.12483309239962909,0.6060008943734316,0.12483309239962909,0.12483309239962909,0.028406291923754604,0.028406291923754604,0.7211719827173618
Anonymous Narwhal,0.016038926732460084,0.016038926732460084,0.016038926732460084,0.016038926732460084,0.0301454526537804,0.005410722271191354,0.007343123082331123,0.0150727263268902,0.11652376891172808,0.13159649523861827,0.12483309239962909,0.12483309239962909,0.12483309239962909,0.6060008943734316,0.12483309239962909,0.12483309239962909,0.028406291923754604,0.028406291923754604,0.7211719827173618
csk6snj,0.016038926732460084,0.016038926732460084,0.016038926732460084,0.016038926732460084,0.0301454526537804,0.005410722271191354,0.007343123082331123,0.0150727263268902,0.11652376891172808,0.13159649523861827,0.12483309239962909,0.12483309239962909,0.12483309239962909,0.6060008943734316,0.12483309239962909,0.12483309239962909,0.028406291923754604,0.028406291923754604,0.7211719827173618
blacklodge,0.016038926732460084,0.016038926732460084,0.016038926732460084,0.016038926732460084,0.0301454526537804,0.005410722271191354,0.007343123082331123,0.0150727263268902,0.11652376891172808,0.13159649523861827,0.12483309239962909,0.12483309239962909,0.12483309239962909,0.6060008943734316,0.12483309239962909,0.12483309239962909,0.028406291923754604,0.028406291923754604,0.7211719827173618
nm2fs,0.016038926732460084,0.016038926732460084,0.016038926732460084,0.016038926732460084,0.0301454526537804,0.005410722271191354,0.007343123082331123,0.0150727263268902,0.11652376891172808,0.13159649523861827,0.12483309239962909,0.12483309239962909,0.12483309239962909,0.6060008943734316,0.12483309239962909,0.12483309239962909,0.028406291923754604,0.028406291923754604,0.7211719827173618
ae3xd,0.016038926732460084,0.016038926732460084,0.016038926732460084,0.016038926732460084,0.0301454526537804,0.005410722271191354,0.007343123082331123,0.0150727263268902,0.11652376891172808,0.13159649523861827,0.12483309239962909,0.12483309239962909,0.12483309239962909,0.6060008943734316,0.12483309239962909,0.12483309239962909,0.028406291923754604,0.028406291923754604,0.7211719827173618
znp3ev,0.016038926732460084,0.016038926732460084,0.016038926732460084,0.016038926732460084,0.0301454526537804,0.005410722271191354,0.007343123082331123,0.0150727263268902,0.11652376891172808,0.13159649523861827,0.12483309239962909,0.12483309239962909,0.12483309239962909,0.6060008943734316,0.12483309239962909,0.12483309239962909,0.028406291923754604,0.028406291923754604,0.7211719827173618
zqz8ae,0.016038926732460084,0.016038926732460084,0.016038926732460084,0.016038926732460084,0.0301454526537804,0.005410722271191354,0.007343123082331123,0.0150727263268902,0.11652376891172808,0.13159649523861827,0.12483309239962909,0.12483309239962909,0.12483309239962909,0.6060008943734316,0.12483309239962909,0.12483309239962909,0.028406291923754604,0.028406291923754604,0.7211719827173618
ak3gj,0.016038926732460084,0.016038926732460084,0.016038926732460084,0.016038926732460084,0.0301454526537804,0.005410722271191354,0.007343123082331123,0.0150727263268902,0.11652376891172808,0.13159649523861827,0.12483309239962909,0.12483309239962909,0.12483309239962909,0.6060008943734316,0.12483309239962909,0.12483309239962909,0.028406291923754604,0.028406291923754604,0.7211719827173618
pex7ps,0.016038926732460084,0.016038926732460084,0.016038926732460084,0.016038926732460084,0.0301454526537804,0.005410722271191354,0.007343123082331123,0.0150727263268902,0.11652376891172808,0.13159649523861827,0.12483309239962909,0.12483309239962909,0.12483309239962909,0.6060008943734316,0.12483309239962909,0.12483309239962909,0.028406291923754604,0.028406291923754604,0.7211719827173618
