ID,Oranges,Apples,Watermelons,Bananas,Eggplants,Tomatoes,Potatoes,Bread,Oats,Rice,Fish,Eggs,Chicken,Olive Oil,Soy Bean Paste,Beef,Milk,"Yogurt (low fat, plain)",Cheese Balls,AllocationTime
Gal Gadot,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,-0.0,0.0,4.0,0.0,2.0,3.0,3.0,0.0,3.0,0.0,6
Anonymous Narwhal,2.0,4.0,4.0,4.0,1.0,0.0,0.0,2.0,-0.0,4.0,1.0,3.0,2.0,3.0,1.0,-0.0,3.0,2.0,4.0,6
csk6snj,1.0,-0.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,-0.0,3.0,1.0,0.0,1.0,0.0,3.0,6
blacklodge,2.0,2.0,3.0,3.0,0.0,3.0,-0.0,2.0,2.0,2.0,1.0,3.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,6
nm2fs,3.0,3.0,3.0,3.0,0.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,2.0,0.0,2.0,3.0,6
ae3xd,3.0,3.0,3.0,3.0,0.0,3.0,3.0,1.0,3.0,0.0,2.0,3.0,2.0,3.0,0.0,0.0,2.0,0.0,3.0,6
znp3ev,4.0,6.0,0.0,2.0,2.0,4.0,6.0,0.0,0.0,5.0,6.0,7.0,6.0,1.0,4.0,2.0,0.0,6.0,2.0,6
zqz8ae,2.0,-0.0,6.0,4.0,2.0,3.0,3.0,3.0,0.0,5.0,0.0,2.0,5.0,2.0,2.0,0.0,4.0,0.0,2.0,6
ak3gj,0.0,2.0,1.0,1.0,3.0,4.0,4.0,0.0,4.0,0.0,0.0,2.0,2.0,1.0,3.0,4.0,4.0,5.0,3.0,6
pex7ps,4.0,-0.0,0.0,2.0,4.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,3.0,-0.0,0.0,5.0,3.0,6
