ID,Oranges,Apples,Watermelons,Bananas,Eggplants,Tomatoes,Potatoes,Bread,Oats,Rice,Fish,Eggs,Chicken,Olive Oil,Soy Bean Paste,Beef,Milk,"Yogurt (low fat, plain)",Cheese Balls,AllocationTime
Gal Gadot,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,8
Anonymous Narwhal,3.0,1.0,2.0,0.0,0.0,1.0,3.0,4.0,4.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,3.0,8
csk6snj,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,-0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,8
blacklodge,3.0,2.0,2.0,1.0,0.0,2.0,1.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,8
nm2fs,3.0,2.0,0.0,1.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,1.0,3.0,0.0,0.0,3.0,3.0,3.0,8
ae3xd,3.0,3.0,0.0,0.0,2.0,0.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,0.0,3.0,3.0,3.0,8
znp3ev,7.0,0.0,6.0,2.0,2.0,1.0,3.0,5.0,6.0,2.0,3.0,5.0,6.0,0.0,2.0,4.0,0.0,1.0,0.0,8
zqz8ae,0.0,5.0,2.0,2.0,2.0,2.0,5.0,4.0,0.0,7.0,0.0,2.0,5.0,1.0,-0.0,5.0,0.0,0.0,2.0,8
ak3gj,0.0,5.0,3.0,3.0,4.0,4.0,-0.0,-0.0,2.0,-0.0,0.0,4.0,2.0,1.0,3.0,0.0,4.0,5.0,3.0,8
pex7ps,2.0,4.0,0.0,7.0,1.0,5.0,4.0,2.0,0.0,3.0,0.0,5.0,4.0,0.0,2.0,0.0,7.0,0.0,3.0,8
