ID,Oranges,Apples,Watermelons,Bananas,Eggplants,Tomatoes,Potatoes,Bread,Oats,Rice,Fish,Eggs,Chicken,Olive Oil,Soy Bean Paste,Beef,Milk,"Yogurt (low fat, plain)",Cheese Balls,AllocationTime
Gal Gadot,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,-0.0,-0.0,-0.0,1.0,-0.0,1.0,1.0,2.0,-0.0,9
Anonymous Narwhal,4.0,2.0,4.0,2.0,2.0,-0.0,-0.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,-0.0,-0.0,4.0,2.0,3.0,9
csk6snj,3.0,1.0,3.0,-0.0,-0.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,-0.0,-0.0,2.0,1.0,-0.0,9
blacklodge,-0.0,2.0,3.0,3.0,1.0,1.0,3.0,-0.0,-0.0,-0.0,1.0,3.0,1.0,1.0,2.0,-0.0,1.0,3.0,1.0,9
nm2fs,1.0,3.0,2.0,1.0,-0.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,-0.0,3.0,3.0,3.0,2.0,9
ae3xd,3.0,3.0,0.0,3.0,-0.0,3.0,3.0,3.0,2.0,-0.0,4.0,3.0,0.0,1.0,3.0,3.0,1.0,3.0,-0.0,9
znp3ev,-0.0,7.0,-0.0,6.0,6.0,4.0,4.0,2.0,3.0,6.0,6.0,2.0,-0.0,-0.0,4.0,1.0,2.0,-0.0,5.0,9
zqz8ae,1.0,5.0,5.0,6.0,4.0,2.0,5.0,-0.0,6.0,4.0,2.0,7.0,5.0,-0.0,6.0,2.0,2.0,-0.0,1.0,9
ak3gj,4.0,1.0,3.0,3.0,4.0,5.0,5.0,-0.0,4.0,-0.0,1.0,-0.0,2.0,1.0,2.0,2.0,4.0,5.0,3.0,9
pex7ps,5.0,7.0,-0.0,4.0,7.0,4.0,5.0,7.0,-0.0,5.0,2.0,3.0,2.0,6.0,1.0,-0.0,5.0,4.0,6.0,9
